tran_date,amount,gender,member
2014-12-18,500,female,yes
2017-10-11,598,female,yes
2018-3-15,299,female,yes
2019-7-12,299,female,yes
2023-1-10,10000,female,yes
2017-11-30,3000,female,yes
2019-12-9,3000,female,yes
2019-12-13,3000,female,yes
2020-12-26,3000,female,yes
2021-12-24,3000,female,yes
2021-9-8,2000,female,no
2021-9-25,2000,female,no
2021-10-26,2000,female,no
2022-2-2,2000,female,no
2022-10-3,2000,female,no
2022-10-3,2000,female,no
2022-10-26,2000,female,no
2022-12-26,2000,female,no
2022-5-25,2000,female,no
2022-11-26,2000,female,no
2022-6-28,2000,female,no
2022-3-30,2000,female,no
2022-4-25,2000,female,no
2023-2-27,2000,female,no
2023-1-26,2000,female,no
2023-6-6,2000,female,no
2023-6-28,2000,female,no
2023-3-27,2000,female,no
2023-4-26,2000,female,no
2019-11-7,1000,female,no
2020-9-24,1000,female,no
2020-11-4,1000,female,no
2020-8-17,1000,female,no
2021-11-3,1000,female,no
2021-3-3,1000,female,no
2022-9-13,1000,female,no
2022-11-8,1000,female,no
2023-1-4,1000,female,no
2023-3-7,1000,female,no
2017-8-8,11000,female,yes
2019-8-9,2700,female,yes
2020-7-29,2500,female,yes
2021-12-4,1000,female,yes
2021-12-4,3000,female,yes
2018-12-28,10000,female,yes
2019-12-13,100000,female,yes
2020-12-29,100000,female,yes
2021-7-20,200000,female,yes
2022-12-29,50000,female,yes
2022-12-29,50000,female,yes
2019-7-12,8145,female,no
2019-8-2,2693,female,no
2019-8-2,600,female,no
2019-8-2,998,female,no
2019-8-2,1396,female,no
2013-10-11,1000,male,yes
2014-11-10,1000,male,yes
2014-11-10,1000,male,yes
2014-11-10,1000,male,yes
2017-12-27,1000,male,yes
2018-6-4,1000,male,yes
2019-9-9,1000,male,yes
2019-12-14,1000,male,yes
2019-3-1,1000,male,yes
2019-3-30,1000,male,yes
2020-12-7,1000,male,yes
2020-5-20,5000,male,yes
2020-5-30,1000,male,yes
2020-3-7,1000,male,yes
2020-8-22,1000,male,yes
2021-7-14,2000,male,yes
2021-2-27,1000,male,yes
2021-9-30,2000,male,yes
2021-12-23,1000,male,yes
2021-1-27,1000,male,yes
2021-6-14,2000,male,yes
2021-4-28,5000,male,yes
2022-7-2,20000,male,yes
2022-2-19,2000,male,yes
2022-6-22,2000,male,yes
2022-4-25,2000,male,yes
2023-2-8,1000,male,yes
2023-5-1,1000,male,yes
2023-6-28,2000,male,yes
2018-12-12,3000,female,yes
2020-3-16,3000,female,yes
2021-12-9,2000,female,yes
2023-6-6,1000,female,yes
2023-6-6,1000,female,yes
2015-1-22,2000,female,yes
2017-12-26,2500,female,yes
2018-11-28,25000,female,yes
2019-8-10,10000,female,yes
2020-8-10,5000,female,yes
2015-8-20,30000000,female,yes
2017-6-27,6000000,female,yes
2020-7-31,3000000,female,yes
2020-9-21,7000,female,yes
2020-9-23,10000,female,yes
2021-12-30,78806,female,yes
2021-12-30,17000000,female,yes
2022-7-25,10000,female,yes
2022-1-28,550000,female,yes
2016-7-22,50000,female,no
2019-7-10,50000,female,no
2020-7-9,50000,female,no
2021-7-14,50000,female,no
2022-7-19,50000,female,no
2023-7-17,50000,female,no
2022-7-12,1000,female,no
2022-10-10,1000,female,no
2022-11-21,1000,female,no
2022-6-23,500,female,no
2022-8-30,1000,female,no
2023-7-13,1500,female,no
2023-2-20,1000,female,no
2023-5-16,1500,female,no
2023-6-8,1500,female,no
2023-3-28,1000,female,no
2023-4-19,1500,female,no
2019-10-15,1500,female,yes
2019-5-30,500,female,yes
2020-10-12,6000,female,yes
2020-8-26,1000,female,yes
2022-11-30,5000,female,yes
2014-3-11,4740,female,yes
2014-12-4,7000,female,yes
2014-12-4,2720,female,yes
2015-3-13,1050,female,yes
2015-3-20,1740,female,yes
2015-3-26,900,female,yes
2015-4-3,1010,female,yes
2019-5-17,1000,female,yes
2019-11-29,500,female,yes
2020-4-16,3000,male,yes
2021-10-16,8000,male,yes
