reciept_no,tran_date,fund_code,fund_subcode,customer_id,amount,fund_name,fund_subname,customer_type,gender,birthday,age,flag_member
570000003,2013-10-1,10,560000294,P0245,8400,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,female,,,no
570000001,2013-10-1,10,560000294,P0472,9500,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570000169,2013-10-11,10,560000294,P0750,15300,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570000177,2013-10-12,10,560000294,P0807,10500,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการจัดงานครบรอบ 80 ปี แห่งการสถาปนา(มหาวิทยาลัยธรรมศาสตร์),บุคคลธรรมดา,male,,,no
570000231,2013-10-18,10,10,P0717,10700,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,female,,,no
570000277,2013-10-21,20,560000298,P0154,15800,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,male,,,no
570000299,2013-10-21,20,560000298,P0331,11700,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
570000307,2013-10-21,20,560000298,P0342,6100,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
570000289,2013-10-21,20,560000298,P0396,8000,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
570000302,2013-10-21,20,560000298,P0609,8800,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
570000283,2013-10-21,20,560000298,P0613,14200,กองทุนบริจาคเพื่อหน่วยงาน,กองทุน หมุนเวียนเพื่อผู้ป่วยเด็ก,บุคคลธรรมดา,female,,,no
