Africa,Americas,Asia,Australia and New Zealand,Central Asia,Eastern Asia,Eastern Europe,Europe,Latin America and the Caribbean,Melanesia,Micronesia,Northern Africa,Northern America,Northern Europe,Oceania,Polynesia,South-eastern Asia,Southern Asia,Southern Europe,Sub-Saharan Africa,Western Asia,Western Europe,World
248389,494910,389505,833,9358,31007,98493,223095,226394,522,16,18883,32306,4146,3267,58,32972,129576,4738,204689,17871,5679,848795
255742,529011,377073,801,8907,30431,102942,232616,235640,493,24,19371,39233,4155,3173,64,31960,128652,4788,208849,18520,5509,870990
260368,536686,402734,857,8341,29593,104109,235502,245210,527,18,19658,33664,4318,3389,80,32066,126863,4529,213197,18993,5678,877542
259494,521827,409906,696,8132,27728,98379,227584,245019,671,26,19610,34109,3811,3546,70,35273,123544,4378,211556,19284,5054,865472
261761,496741,438984,620,8213,28052,91321,230996,229565,667,27,19239,34808,3971,2872,63,30157,130164,4120,213358,19786,5152,847747
264355,570051,425717,644,7949,24053,82565,219374,227101,669,25,19962,35433,3680,4240,73,31346,127132,4086,215953,21624,4842,831609
293914,609171,422419,664,7726,21139,68361,188994,233935,672,30,20569,35872,3543,4381,78,30680,129817,3849,222359,21249,4453,826570
294380,627175,438351,610,7250,19148,60427,168343,230136,587,18,20977,35488,3584,4007,63,30000,131582,3936,224279,21979,4448,814014
305374,676336,517980,628,6932,17806,45269,145535,251532,659,19,21770,34201,3244,4294,80,28432,136541,3711,228749,21428,4408,823644
303714,714968,513847,664,6391,17577,43499,142725,270124,763,17,21836,32066,2968,4773,68,34672,135497,3574,232037,17157,3895,840918
334018,795048,518524,551,6412,16156,40965,160343,280520,771,17,23728,30609,2975,4205,61,33195,136844,3569,234367,17389,3843,848675
347890,824554,528502,577,5405,14617,40035,151018,288926,772,27,25559,30573,2804,3509,55,33421,140748,3483,240636,23605,3907,870323
349433,844879,537655,571,4857,13797,40457,131212,294236,794,23,25327,30853,2512,3474,40,34471,142012,3455,248887,24563,3589,884819
339740,897111,535319,585,4280,12844,40305,135584,288758,815,23,26597,29695,2472,4106,37,34587,140290,3101,255308,25475,3567,882188
353790,957643,440061,575,3771,12311,41792,163503,287002,838,23,28017,29408,2360,4257,41,34935,142443,2939,264233,24563,3609,891798
364830,1058450,399250,571,3500,11299,42211,204793,281046,859,23,26455,33020,2460,4282,47,34807,128494,2665,270676,24352,4021,878459
449854,1173008,469474,557,3950,10613,40273,214578,295131,881,20,27138,36097,2642,4219,41,37184,119363,2469,276878,26778,4231,895525
395551,1240774,430615,488,3704,9819,34770,195270,303878,902,20,28280,35957,2636,4115,61,30760,116535,2402,287994,28411,3945,901071
391758,1273159,448196,595,3136,9328,30431,178426,297061,922,21,28391,34101,2507,4598,93,24966,117003,2331,290762,29226,3835,884751
444855,1253009,428161,712,2733,9139,28385,167648,272989,943,26,29177,34744,2559,4850,39,22867,117190,2239,297861,27521,3521,862541
387713,1410168,400933,595,2613,8869,27099,187852,264721,962,26,29303,44706,2464,4314,57,23844,118424,2142,299132,25552,3687,863841
437337,1242061,464828,552,2660,8734,25296,139765,261322,981,24,32091,47423,2482,4085,58,49780,119883,2118,320731,28692,3565,915908
457626,1194395,330966,558,2410,8525,24017,74750,258596,999,24,33308,44984,2444,4076,58,24176,119472,2242,333605,26919,3794,895469
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
